id,name,amount,sales_stage,probability,city,state,country,lead_source,lost_reason,closed_date,expected_closed_date,assigned_user_id,created_at,updated_at,deleted_at
5354de6f-e880-4d81-a19a-c289372e48a8,Banik-Krishnan CRM Deal,223488,Negotiation,56,Delhi,Delhi,India,LinkedIn,,,2026-06-03,fca4d392-94e8-47e1-bdb4-3dca1cb88b3a,2025-12-30 19:01:22,2026-05-16 13:51:15.054401,
b5f83fc9-944c-4b6b-8673-f27588526503,Virk Group CRM Deal,269508,Closed Won,100,Nashik,Maharashtra,India,IndiaMART,,2026-03-26,2026-06-12,e75d85fc-9d80-421a-aa90-2624363de215,2026-03-03 19:49:00,2026-05-16 13:51:15.054683,
97564bea-919c-42f4-9d2a-d67de8b944de,Dey-Shah CRM Deal,493952,Closed Won,100,Delhi,Delhi,India,LinkedIn,,2026-01-28,2026-06-11,7a1b7ad6-e2d2-4e32-9902-ba4caebc581d,2026-02-05 04:40:12,2026-05-16 13:51:15.054938,
313840d9-6c4c-47b2-9ef1-22caa830eeb8,Sani-Mital CRM Deal,351813,Closed Won,100,Nashik,Maharashtra,India,Referral,,2026-02-05,2026-06-03,a479e5cf-9f94-4433-ad29-445f2f57265f,2026-05-06 04:43:34,2026-05-16 13:51:15.055125,
c75ba73d-3257-4624-8b4f-387da2b4dea2,"Thakur, Dua and Banik CRM Deal",371814,Negotiation,20,Delhi,Delhi,India,JustDial,,,2026-05-21,0ef691cb-a3b6-4c00-93f4-b28b0fe40706,2025-11-28 17:59:25,2026-05-16 13:51:15.055273,
bda58548-2258-4839-9c7e-ff5d08c28c61,"Char, Lala and Kala CRM Deal",92869,Proposal,72,Surat,Gujarat,India,Referral,,,2026-05-24,0c6634a5-fb54-4e6c-91ef-7ec0e2cc3378,2026-02-23 22:33:31,2026-05-16 13:51:15.055433,
f560f8d4-abfc-45cd-a53a-ef5c32810f32,Venkataraman Inc CRM Deal,40661,Closed Won,100,Surat,Gujarat,India,Website,,2026-02-26,2026-05-26,3c2514fb-429d-444a-bc6c-7c4a2ce757be,2026-04-20 01:19:07,2026-05-16 13:51:15.055669,
6038b664-2812-49ca-82a8-f1506c546f7a,Khosla-Setty CRM Deal,131606,Proposal,45,Nashik,Maharashtra,India,Website,,,2026-06-13,5adbfff5-e09e-439c-ac07-42c4619ce4f5,2026-04-24 13:54:39,2026-05-16 13:51:15.055830,
93120aae-ce67-4fa8-ac11-d94a2997c588,Dalal-Patla CRM Deal,92899,Closed Won,100,Hyderabad,Telangana,India,IndiaMART,,2026-03-01,2026-05-26,0ef691cb-a3b6-4c00-93f4-b28b0fe40706,2026-01-23 04:14:12,2026-05-16 13:51:15.056033,
301490e6-8012-43f2-8ea3-29a51be96c44,"Bala, Mody and Tak CRM Deal",122251,Closed Won,100,Kochi,Kerala,India,JustDial,,2026-04-15,2026-05-18,a479e5cf-9f94-4433-ad29-445f2f57265f,2025-12-01 20:37:56,2026-05-16 13:51:15.056261,
3e480121-08a5-43f7-a50a-af45d16839cd,Balay-Salvi CRM Deal,326945,Closed Won,100,Surat,Gujarat,India,Website,,2026-03-10,2026-05-26,560f2adc-162e-473b-8cd1-0546376e74e9,2026-04-15 19:02:20,2026-05-16 13:51:15.056494,
dc81f487-afb0-4b85-b235-0bed4f4413c2,Singh Group CRM Deal,226460,Proposal,22,Chennai,Tamil Nadu,India,Referral,,,2026-06-06,6f9c7382-0bb3-450e-aef4-dc8380654217,2026-01-22 07:50:49,2026-05-16 13:51:15.056679,
ef9aef24-a045-4853-88a5-e5f20bbad4d9,Tandon-Kant CRM Deal,360586,Closed Won,100,Ahmedabad,Gujarat,India,Website,,2026-04-21,2026-05-20,404d7654-52ae-4333-91d7-753b4d63789e,2026-02-27 00:48:36,2026-05-16 13:51:15.056956,
867eb12a-373a-415c-b457-f8ae7fead625,Mutti and Sons CRM Deal,169124,Negotiation,72,Ahmedabad,Gujarat,India,Website,,,2026-06-03,13815ae1-d9c7-4b60-877c-5b354527caac,2026-03-04 04:22:00,2026-05-16 13:51:15.057135,
